danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.175,0.954,7,-4.518,1,0.285,0,0.0954,157.279,4MMvFI5XSXmukLvI4DbsaP,https://api.spotify.com/v1/audio-analysis/4MMvFI5XSXmukLvI4DbsaP,370747,4,カタルシス,Machine Head,0.041,0.738,0.228,0.375
0.432,0.955,6,-3.539,1,0.282,0.034,0.344,134.968,1YNKdfIuJKWFeemlBfnjo6,https://api.spotify.com/v1/audio-analysis/1YNKdfIuJKWFeemlBfnjo6,237013,4,カミング・アンダン,Imminence,0.456,1,0.184,0.558
0.629,0.933,9,-5.72,0,0.0371,4.82e-6,0.508,130.022,7KLSii755PyOMKIrv8H65a,https://api.spotify.com/v1/audio-analysis/7KLSii755PyOMKIrv8H65a,338627,4,カラスのうた,Korpiklaani,0.76,0.972,0.145,0.253
0.382,0.972,6,-3.327,1,0.157,0,0.501,149.898,3SJe7jIHUh3LkUcvEl3IGI,https://api.spotify.com/v1/audio-analysis/3SJe7jIHUh3LkUcvEl3IGI,252120,4,カリフォルニア・ブリーディング,Machine Head,0.363,0.659,0.357,0.308
0.259,0.959,7,-3.792,1,0.219,0,0.376,157.124,3fvVEJp9sa2AwE4gr5dqwx,https://api.spotify.com/v1/audio-analysis/3fvVEJp9sa2AwE4gr5dqwx,243600,4,カレイドスコープ,Machine Head,0.125,1,0.367,0.418
0.607,0.934,6,-5.524,0,0.0478,2.92e-4,0.76,104.989,6SRIsfEeLD78z0Y1JXgfG9,https://api.spotify.com/v1/audio-analysis/6SRIsfEeLD78z0Y1JXgfG9,275439,4,キング・フォー・ア・デイ,Battle Beast,0.755,0.92,0.363,0.445
0.442,0.92,11,-3.047,0,0.0759,0.0714,0.469,154.956,6Uu2XGwYyeTvGlHEEmmysx,https://api.spotify.com/v1/audio-analysis/6Uu2XGwYyeTvGlHEEmmysx,235693,4,キープ・ミー,Imminence,0.346,1,0.15,0.291
0.597,0.342,0,-5.617,1,0.0396,0,0.365,155.473,3E0CbyGuqIVGAIgvAmC0Bk,https://api.spotify.com/v1/audio-analysis/3E0CbyGuqIVGAIgvAmC0Bk,234400,4,キープ・ミー - アコースティック,Imminence,0.015,1,0.09,0.375
0.468,0.97,8,-4.461,1,0.0955,3.44e-5,0.287,128.073,3l86Q69oHQGUFPs75cq3h3,https://api.spotify.com/v1/audio-analysis/3l86Q69oHQGUFPs75cq3h3,259497,4,グッド・ストーリーズ,Annisokay,0.847,1,0.143,0.408
0.286,0.968,8,-4.089,1,0.205,0,0.327,152.666,6fZ6VFUFGngcQeEP3CMS7s,https://api.spotify.com/v1/audio-analysis/6fZ6VFUFGngcQeEP3CMS7s,246987,4,グラインド・ユー・ダウン,Machine Head,0.197,1,0.312,0.353
0.482,0.975,7,-5.04,1,0.0626,0.0133,0.407,127.05,34kyNZxqSCpEcdKrGdqS7I,https://api.spotify.com/v1/audio-analysis/34kyNZxqSCpEcdKrGdqS7I,284732,4,グレイン・オブ・サンド,Amorphis,0.809,0.465,0.623,0.587
0.391,0.988,2,-4.244,1,0.163,0.0195,0.127,113.909,1DhShqviq3QwWu9dAGJmlE,https://api.spotify.com/v1/audio-analysis/1DhShqviq3QwWu9dAGJmlE,203031,3,コーマ・ブルー,Annisokay,0.417,1,0.35,0.375
0.46,0.946,1,-3.742,0,0.104,0.286,0.34,147.961,0aPV0Cosh5Ze1U5oZ2N3Ml,https://api.spotify.com/v1/audio-analysis/0aPV0Cosh5Ze1U5oZ2N3Ml,240240,4,コールド・アズ・ストーン,Imminence,0.277,0.998,0.385,0.47
0.461,0.968,1,-3.526,1,0.0891,0.001,0.526,149.946,5TdEmWHf84NoMmVrtdjRxF,https://api.spotify.com/v1/audio-analysis/5TdEmWHf84NoMmVrtdjRxF,226196,4,コールド・ライク・ウォー,We Came As Romans,0.236,0.933,0,0.198
0.562,0.983,10,-5.314,0,0.111,0.00366,0.243,114.988,6cdPdYAiMK3uN4QleUy3I2,https://api.spotify.com/v1/audio-analysis/6cdPdYAiMK3uN4QleUy3I2,213774,4,コール・マイ・ネーム,In Flames,0.745,1,0.338,0.558
0.275,0.982,7,-4.95,0,0.0678,0.0323,0.491,96.143,5xZBHnBjHeF4vXiiiyijhv,https://api.spotify.com/v1/audio-analysis/5xZBHnBjHeF4vXiiiyijhv,236780,4,ゴッド・オブ・ウォー - ボーナストラック,Battle Beast,0.034,0.803,0.705,0.651
0.197,0.764,7,-4.283,1,0.0396,0.674,0.205,96.199,6Evs5dm0hF6kgGGZNByJUQ,https://api.spotify.com/v1/audio-analysis/6Evs5dm0hF6kgGGZNByJUQ,459213,4,ゴルゴタの丘,W.A.S.P.,0.417,0.895,0.046,0.333
0.314,0.977,6,-4.098,1,0.166,1.37e-5,0.203,141.799,6SnzI1ou71KZU1jqLTt2QW,https://api.spotify.com/v1/audio-analysis/6SnzI1ou71KZU1jqLTt2QW,301853,4,サイコティック,Machine Head,0.458,0.816,0.049,0.165
0.398,0.958,10,-5.536,1,0.0682,0.00467,0.189,138.251,44zL8e0CujJSqVl3ie40Oi,https://api.spotify.com/v1/audio-analysis/44zL8e0CujJSqVl3ie40Oi,382952,4,ザ・ゴールデン・エルク,Amorphis,0.714,0.907,0.387,0.379
0.4,0.965,7,-5.007,0,0.0617,0.00743,0.293,138.001,2rrsYPmayJH9fePijyYH4F,https://api.spotify.com/v1/audio-analysis/2rrsYPmayJH9fePijyYH4F,330558,4,ザ・ビー,Amorphis,0.79,0.981,0.702,0.705
0.378,0.592,4,-6.129,0,0.0357,5.6e-4,0.31,205.997,0qbxfAvK8L6bsc385UxJ5s,https://api.spotify.com/v1/audio-analysis/0qbxfAvK8L6bsc385UxJ5s,262872,3,ザ・フォールン・ワン,HammerFall,0.096,1,0.483,0.584
0.342,0.97,2,-3.742,0,0.119,4.95e-6,0.34,159.93,6DNpgvZQUGX57YMZYeVmY0,https://api.spotify.com/v1/audio-analysis/6DNpgvZQUGX57YMZYeVmY0,210028,4,シー・オブ・ツリーズ,Annisokay,0.558,0.443,0.677,0.655
0.494,0.966,11,-5.842,0,0.0451,0.0322,0.444,125.028,38Zn94ToyRlG6Unzila7to,https://api.spotify.com/v1/audio-analysis/38Zn94ToyRlG6Unzila7to,270212,4,ジ・エクリプス - ボーナストラック,Battle Beast,0.634,1,0.762,0.636
0.259,0.968,7,-4.141,1,0.146,5.19e-5,0.217,138.565,3rGpUVBts6FdktZF66oFPx,https://api.spotify.com/v1/audio-analysis/3rGpUVBts6FdktZF66oFPx,234933,4,スクリーミング・アット・ザ・サン,Machine Head,0.407,0.736,0.161,0.295
0.422,0.771,5,-7.011,0,0.0375,4.73e-4,0.226,95.004,3eBj7lu5vVQGvZHElIrXMi,https://api.spotify.com/v1/audio-analysis/3eBj7lu5vVQGvZHElIrXMi,316907,4,ステイ・ウィズ・ミー,In Flames,0.374,0.984,0.553,0.654
0.451,0.973,9,-4.817,0,0.0656,1.26e-4,0.489,164.032,0hGqnozDVpgM7TDobflf2Z,https://api.spotify.com/v1/audio-analysis/0hGqnozDVpgM7TDobflf2Z,211300,4,ストレイト・トゥ・ザ・ハート,Battle Beast,0.164,0.976,0.015,0.058
0.557,0.987,1,-4.631,1,0.0747,0.247,0.409,117.985,3XbdbKba21eCxMjeZadADi,https://api.spotify.com/v1/audio-analysis/3XbdbKba21eCxMjeZadADi,268891,4,ストロンガー・ザン・オール,HammerFall,0.85,1,0.355,0.456
