danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.445,0.898,1,-5.952,0,0.0407,5.24e-5,0.508,128.078,3PjgUzfGgpolnvf6SKKwsO,https://api.spotify.com/v1/audio-analysis/3PjgUzfGgpolnvf6SKKwsO,325133,4,ア・ニュー・ドリーム,Labyrinth,0.716,0.97,0.763,0.62
0.185,0.581,3,-8.489,1,0.0542,0.314,0.0398,140.025,4uKGvL6qY1X2aYiH9XrSxl,https://api.spotify.com/v1/audio-analysis/4uKGvL6qY1X2aYiH9XrSxl,175027,3,ア・ニュー・ビギニング,Seventh Wonder,0.135,0.704,0.347,0.51
0.35,0.93,7,-7.105,0,0.0832,2.38e-6,0.319,90.163,5bSnCepbg9iAZhXbaIPuf9,https://api.spotify.com/v1/audio-analysis/5bSnCepbg9iAZhXbaIPuf9,346133,4,ア・ミリオン・ウェイズ・トゥ・ダイ,Royal Hunt,0.01,0.992,0.421,0.613
0.398,0.807,0,-5.769,0,0.032,0.178,0.469,122.799,7ajaRZ5kkzglfmoDVRbAOK,https://api.spotify.com/v1/audio-analysis/7ajaRZ5kkzglfmoDVRbAOK,298693,4,イサフォルド,Sólstafir,0.574,1,1,0.847
0.503,0.903,1,-5.821,0,0.0568,1.2e-4,0.53,140.002,2FSMh1gQKZkkRqDBN9gmXw,https://api.spotify.com/v1/audio-analysis/2FSMh1gQKZkkRqDBN9gmXw,395307,4,ウィ・ビロング・トゥ・イエスタデイ,Labyrinth,0.782,0.988,0.142,0.155
0.307,0.557,6,-8.383,1,0.038,0.871,0.18,109.679,5hp3PQADfy8nRwXmum4WJg,https://api.spotify.com/v1/audio-analysis/5hp3PQADfy8nRwXmum4WJg,654413,4,ウェイティング・フォー・ユー - ライヴ,Cult Of Luna,0.477,0.956,0.165,0.288
0.441,0.953,11,-5.239,1,0.123,0.00181,0.196,123.943,6E9606EcraVJrpAwQR84Wy,https://api.spotify.com/v1/audio-analysis/6E9606EcraVJrpAwQR84Wy,343947,4,ウェルカム・トゥ・マーシー・フォールズ,Seventh Wonder,0.517,0.789,0.43,0.29
0.495,0.891,1,-6.217,0,0.134,0.00206,0.246,101.903,6RSCNjLkjq0hfB2lUz0ltH,https://api.spotify.com/v1/audio-analysis/6RSCNjLkjq0hfB2lUz0ltH,297000,4,ウォーキング・トール,Seventh Wonder,0.395,0.577,0.55,0.386
0.413,0.609,10,-10.923,1,0.0307,0.0244,0.22,149.785,6Qf88zMku86yPNsOQCahzo,https://api.spotify.com/v1/audio-analysis/6Qf88zMku86yPNsOQCahzo,114027,3,ウォーター,Cellar Darling,0.045,1,0.369,0.388
0.365,0.972,4,-4.269,0,0.0809,1.76e-4,0.255,160.035,7mDIA2QyiHOY3ZQlY5g6wX,https://api.spotify.com/v1/audio-analysis/7mDIA2QyiHOY3ZQlY5g6wX,570227,4,エクスヘイル,Seventh Wonder,0.446,0.332,0.054,0.124
0.27,0.666,1,-8.427,0,0.0314,0.56,0.0377,105.461,2b7K8QaHzbVxMCPxCRQ20j,https://api.spotify.com/v1/audio-analysis/2b7K8QaHzbVxMCPxCRQ20j,716253,4,エコーズ - ライヴ,Cult Of Luna,0.373,0.566,0.365,0.462
0.485,0.953,7,-4.798,0,0.0652,2.25e-6,0.489,96.016,3QsYbhJJiZsMHzuqFKnjTV,https://api.spotify.com/v1/audio-analysis/3QsYbhJJiZsMHzuqFKnjTV,286653,4,エンデュアー・ザ・サイレンス,Myrath,0.321,0.991,0.747,0.882
0.359,0.935,6,-6.693,1,0.0959,7.72e-4,0.671,174.73,383jI5rGZ3LHJszBrW7RwD,https://api.spotify.com/v1/audio-analysis/383jI5rGZ3LHJszBrW7RwD,320426,4,オン・ジ・エッヂ,Threshold,0.283,0.92,0.437,0.523
0.269,0.274,1,-15.099,1,0.0523,0.976,0.0586,120.147,4DyQwfbSn3oeC39yn6L9Sl,https://api.spotify.com/v1/audio-analysis/4DyQwfbSn3oeC39yn6L9Sl,139053,3,オービタル,TesseracT,0.072,0.486,0.499,0.704
0.367,0.912,7,-7.488,1,0.0522,0.911,0.279,97.548,0Yzk2f9cvzvl1cnjM7U9kR,https://api.spotify.com/v1/audio-analysis/0Yzk2f9cvzvl1cnjM7U9kR,215640,4,キャスト・イン・ストーン,Royal Hunt,0.414,0.895,0.279,0.336
0.433,0.986,0,-5.537,1,0.147,0.0263,0.132,113.998,4wG2XmTk6Vt9VCF5S2oAje,https://api.spotify.com/v1/audio-analysis/4wG2XmTk6Vt9VCF5S2oAje,314413,4,キャスプ・オブ・エタニティ,Opeth,0.808,1,0.696,0.39
0.433,0.968,5,-3.788,1,0.0808,0.00507,0.0985,109.935,7f3zcGMxhoCs2OZX2LcNxc,https://api.spotify.com/v1/audio-analysis/7f3zcGMxhoCs2OZX2LcNxc,252320,4,キャリー・ザ・クロス - デモ・ヴァージョン,Adagio,0.787,0.993,0.194,0.339
0.295,0.819,10,-6.462,1,0.041,0,0.362,118.385,1GMawrdoPsLQVYU46C5dhT,https://api.spotify.com/v1/audio-analysis/1GMawrdoPsLQVYU46C5dhT,207520,4,キラー・クイーン,Jorn,0.25,1,0.715,0.641
0.546,0.757,9,-8.17,1,0.033,5.56e-4,0.142,120.049,70HTTrs4X0WiN9CxwCHEMC,https://api.spotify.com/v1/audio-analysis/70HTTrs4X0WiN9CxwCHEMC,416000,4,キング,TesseracT,0.535,0.954,0.538,0.565
0.481,0.88,6,-5.912,1,0.0556,2.89e-4,0.208,132.055,0vXdsNoc8Wxtd1K5ZTjWSL,https://api.spotify.com/v1/audio-analysis/0vXdsNoc8Wxtd1K5ZTjWSL,430653,3,グッドナイト(フェアウェル・パート2),Seventh Wonder,0.531,0.938,0.499,0.577
0.542,0.951,2,-4.785,0,0.0578,1.86e-6,0.509,120.051,17Hew7sAr25UGFirsZVYI6,https://api.spotify.com/v1/audio-analysis/17Hew7sAr25UGFirsZVYI6,239320,4,ゲット・ユア・フリーダム・バック,Myrath,0.826,0.996,0.689,0.663
0.232,0.935,9,-6.083,0,0.187,0.297,0.122,94.295,3o0iRmdcvMMGYOAtCPPJqK,https://api.spotify.com/v1/audio-analysis/3o0iRmdcvMMGYOAtCPPJqK,728480,3,ゴースト・オブ・パーディション,Opeth,0.087,0.259,0.272,0.23
0.372,0.955,9,-6.683,0,0.146,1e-5,0.299,145.331,7GSjmQCGwUAYvlnHDyEFCE,https://api.spotify.com/v1/audio-analysis/7GSjmQCGwUAYvlnHDyEFCE,474227,4,ザ・ウィッシング・ウェル,Royal Hunt,0.148,0.855,0.217,0.41
0.36,0.949,9,-4.89,1,0.107,0.0937,0.22,155.041,1j5XYDQBfnOAMKgnYwNm8a,https://api.spotify.com/v1/audio-analysis/1j5XYDQBfnOAMKgnYwNm8a,361107,4,ザ・グランド・スピリット・ヴォヤージュ,Adagio,0.424,0.419,0.469,0.358
0.524,0.959,2,-4.972,1,0.0434,1.58e-4,0.46,110.021,4Y0xiS55hU4A0aHPi9HlR5,https://api.spotify.com/v1/audio-analysis/4Y0xiS55hU4A0aHPi9HlR5,308040,4,ザ・ニードル,Myrath,0.869,0.845,0.58,0.556
0.447,0.953,0,-6.63,1,0.0879,2.52e-4,0.109,115.892,3ynnnISz7yhd4X6xn0TMwt,https://api.spotify.com/v1/audio-analysis/3ynnnISz7yhd4X6xn0TMwt,408960,4,ザ・ラスト・ソウル・アライヴ,Royal Hunt,0.727,0.888,0.37,0.457
0.509,0.931,7,-4.521,0,0.0424,3.01e-4,0.329,109.971,2k8WKhOFkyP1UCoIENvjxN,https://api.spotify.com/v1/audio-analysis/2k8WKhOFkyP1UCoIENvjxN,383187,4,ザ・ラダー,Adagio,0.76,0.711,0.236,0.244
0.226,0.819,2,-7.885,1,0.0562,8.63e-4,0.223,159.314,7vsrIChXn27Hbko5YMVygO,https://api.spotify.com/v1/audio-analysis/7vsrIChXn27Hbko5YMVygO,394440,4,サクリファイス,Royal Hunt,0.193,0.955,0.782,0.464
0.442,0.945,5,-5.594,1,0.0925,0.00565,0.159,140,2EAOHqmRvd2WVMjaFmhelQ,https://api.spotify.com/v1/audio-analysis/2EAOHqmRvd2WVMjaFmhelQ,414680,4,サブラーマンヤ,Adagio,0.655,0.587,0.328,0.229
0.543,0.888,1,-6.937,0,0.0414,0.00111,0.235,124.011,2UeZY5C06Vcc0L9mVahHa2,https://api.spotify.com/v1/audio-analysis/2UeZY5C06Vcc0L9mVahHa2,291501,4,サブリミナル・フリーウェイズ,Threshold,0.866,0.133,0.882,0.79
0.474,0.993,4,-3.864,0,0.175,0.00117,0.171,119.997,5PH2fdvAZka4krozxBnlHa,https://api.spotify.com/v1/audio-analysis/5PH2fdvAZka4krozxBnlHa,285840,4,サムシング・トゥ・ファイト,Marty Friedman,0.636,0.993,0.319,0.251
